"id","sentence","aspect","opinion"
"2487","You can get an excellent meal at most of the many Indian restaurants on nearby Lexington Avenue for the cost of one the dainty dishes here .","meal","excellent"
"2487","You can get an excellent meal at most of the many Indian restaurants on nearby Lexington Avenue for the cost of one the dainty dishes here .","dishes","dainty"
"499","The Pastrami sandwich was like buttah and with pickles and an icy cold beer to wash it down , it was a pleasurable experience .","Pastrami sandwich","pleasurable"
"499","The Pastrami sandwich was like buttah and with pickles and an icy cold beer to wash it down , it was a pleasurable experience .","beer","icy cold"
"2589","The plain pizza was soggy and the creative wild mushroom ( third generation-Fornini ) pizza we had was drenched with truffle oil in the middle ( again making it soggy ) and nothingon the rest .","plain pizza","soggy"
"2589","The plain pizza was soggy and the creative wild mushroom ( third generation-Fornini ) pizza we had was drenched with truffle oil in the middle ( again making it soggy ) and nothingon the rest .","truffle oil","drenched"
"2589","The plain pizza was soggy and the creative wild mushroom ( third generation-Fornini ) pizza we had was drenched with truffle oil in the middle ( again making it soggy ) and nothingon the rest .","wild mushroom ( third generation-Fornini ) pizza","creative"
"3701","Late nite omelletes are not good here , there is no variety !","omelletes","not good"
"3050","After all that , they complained to me about the small tip .","tip","small"
"1185","It 's a great place to pick up a cheap lunch or dinner .","lunch","cheap"
"1032","Whenever you need a Sushi fix , Mizu will be there with quality fish and great service .","fish","quality"
"1032","Whenever you need a Sushi fix , Mizu will be there with quality fish and great service .","service","great"
"1124","Our waitress was sweet and accomodating , not overbearing .","waitress","sweet accomodating"
"1690","I was really disappointed ant wanted to tell everyone not to go eat or even take out food from there .","food","disappointed"
"788","The website and rating makes this place look wonderful but in reality it was very disappointing .","place","disappointing"
"1780","Despite a slightly limited menu , everything prepared is done to perfection , ultra fresh and a work of food art .","menu","limited"
"1780","Despite a slightly limited menu , everything prepared is done to perfection , ultra fresh and a work of food art .","food art","ultra fresh"
"742","The outdoor atmosphere of sitting on the sidewalk watching the world go by 50 feet away on 6th avenue on a cool evening was wonderful .","outdoor atmosphere","wonderful"
"3352","brick oven gallery is My pick for best pizza restaurant anywhere .","pizza","best"
"3315","Add to that great service and great food at a reasonable price and you have yourself the beginning of a great evening .","service","great"
"3315","Add to that great service and great food at a reasonable price and you have yourself the beginning of a great evening .","food","great"
"3315","Add to that great service and great food at a reasonable price and you have yourself the beginning of a great evening .","price","reasonable"
"3393","For many people , this may not seem like Aunthentic Thai food because most places in NYC arent quite authentic .","Thai food","authentic"
"3018","Oh , do n't even let me start with how expensive the bills were !","bills","expensive"
"257","The scallion pancakes and fried dumplings were nothing out of the ordinary .","scallion pancakes","ordinary"
"257","The scallion pancakes and fried dumplings were nothing out of the ordinary .","fried dumplings","ordinary"
"813","All the appetizers and salads were fabulous , the steak was mouth watering and the pasta was delicious ! ! !","appetizers","fabulous"
"813","All the appetizers and salads were fabulous , the steak was mouth watering and the pasta was delicious ! ! !","salads","fabulous"
"813","All the appetizers and salads were fabulous , the steak was mouth watering and the pasta was delicious ! ! !","steak","watering"
"813","All the appetizers and salads were fabulous , the steak was mouth watering and the pasta was delicious ! ! !","pasta","delicious"
"2862","Besides having the table we had been promised given to other restaurant patrons twice before we were actually seated , we were served dishes we had n't ordered three times , received one of our orders 20 minutes after the rest of the table had been served ( and that order was undercooked ) , and charged $ 45 more than we should have been on our bill .","dishes","undercooked"
"3292","Service is top notch .","Service","top notch"
"3343","The food now is inconsistent .","food","inconsistent"
"2018","I was pretty much full after our fondue appetizer .","fondue appetizer","full"
"3551","BE CAREFUL before you request extra spice .","spice","CAREFUL"
"2355","The octopus eaters were floored by the Octopus salad .","Octopus salad","floored"
"3178","We thought that this place is using too much of MSG cooking in the foods .","MSG cooking","too much"
"2211","And the Tom Kha soup was pathetic .","Tom Kha soup","pathetic"
"2317","I started out with a Bombay beer which was big enough for two .","Bombay beer","big"
"175","The decor is vibrant and eye-pleasing with several semi-private boths on the right side of the dining hall , which are great for a date .","decor","vibrant eye-pleasing"
"175","The decor is vibrant and eye-pleasing with several semi-private boths on the right side of the dining hall , which are great for a date .","dining hall","great"
"1609","Service was quick .","Service","quick"
"1057","Drawbacks : service is slow and they do n't toast !","service","slow"
"2882","The sweet lassi was excellent as was the lamb chettinad and the garlic naan but the rasamalai was forgettable .","sweet lassi","excellent"
"2882","The sweet lassi was excellent as was the lamb chettinad and the garlic naan but the rasamalai was forgettable .","rasamalai","forgettable"
"1948","We 've been following chef Lyle 's food around New York for 15 years and while remaining classic , his innovations with bistro fare have made us return and return .","bistro fare","innovations"
"1948","We 've been following chef Lyle 's food around New York for 15 years and while remaining classic , his innovations with bistro fare have made us return and return .","food","classic"
"2041","The best thing I tasted were the lambchops .","lambchops","best"
"1656","The spicy tuna and salmon are the best we 've ever had .","spicy tuna","best"
"1656","The spicy tuna and salmon are the best we 've ever had .","salmon","best"
"3440","Even though its good seafood , the prices are too high .","seafood","good"
"3440","Even though its good seafood , the prices are too high .","prices","high"
"870","In addition , the food is very good and the prices are reasonable .","food","good"
"870","In addition , the food is very good and the prices are reasonable .","prices","reasonable"
"2986","Upon entering , we were greeted by the owners , Steven and Frederick , who went out of their way to be more than gracious hosts .","hosts","gracious"
"284","Been going here since it opened have seen the quality value decrease considerably .","quality value","decrease"
"3418","Meat dishes now adorn the selections , although there 's still a large number of vegetarian-friendly choices .","vegetarian-friendly choices","large"
"83","Reasonable prices .","prices","Reasonable"
"2940","they bring service up a notch by offerng complementary amuse bouche to all tables and gave us a small dessert for our celebration .","amuse bouche","complementary"
"2940","they bring service up a notch by offerng complementary amuse bouche to all tables and gave us a small dessert for our celebration .","dessert","small"
"2141","Try the crunchy tuna , it is to die for .","crunchy tuna","Try die for"
"396","All in all , this midtown gem instantly became one of my favorite sushi restaurants in the city .","sushi","favorite"
"614","It is a lot of fun with live entertainment and all kinds of Disney type special effects .","live entertainment","fun"
"614","It is a lot of fun with live entertainment and all kinds of Disney type special effects .","special effects","fun"
"3012","if you 're looking for perfect traditional sushi , go here - if you 're looking for interesting combinations , try Sushi of gari 's ( east side ) .","sushi","perfect"
"3012","if you 're looking for perfect traditional sushi , go here - if you 're looking for interesting combinations , try Sushi of gari 's ( east side ) .","Sushi","interesting"
"2017","Be careful of portions - they 're HUGE .","portions","HUGE"
"2974","The Steak Tartare is a great bet , they fix it for you at the table .","Steak Tartare","great"
"25","Great for large groups and celebrations - our SUPER HAPPY waiter was the entertainment of the evening .","waiter","SUPER HAPPY"
"3383","Plus , on Wednesday nights the house wine is unlimited !","house wine","unlimited"
"2386","The dim sum servings here are a bit larger than I 'm used to .","dim sum servings","larger"
"3332","However , in the summer of 2003 , it seems the management has changed and the great big door has been replaced for a glass front ridding itself of the dark romantic getup .","management","changed"
"3332","However , in the summer of 2003 , it seems the management has changed and the great big door has been replaced for a glass front ridding itself of the dark romantic getup .","door","great big"
"717","We wo n't go to this place again for a good meal .","meal","good"
"1345","Barbecued codfish was gorgeously moist - as if poached - yet the fabulous texture was let down by curiously bland seasoning - a spice rub might have overwhelmed , however herb mix or other sauce would have done much to enhance .","Barbecued codfish","moist"
"1345","Barbecued codfish was gorgeously moist - as if poached - yet the fabulous texture was let down by curiously bland seasoning - a spice rub might have overwhelmed , however herb mix or other sauce would have done much to enhance .","seasoning","bland"
"1345","Barbecued codfish was gorgeously moist - as if poached - yet the fabulous texture was let down by curiously bland seasoning - a spice rub might have overwhelmed , however herb mix or other sauce would have done much to enhance .","texture","fabulous"
"1345","Barbecued codfish was gorgeously moist - as if poached - yet the fabulous texture was let down by curiously bland seasoning - a spice rub might have overwhelmed , however herb mix or other sauce would have done much to enhance .","spice rub","overwhelmed"
"1345","Barbecued codfish was gorgeously moist - as if poached - yet the fabulous texture was let down by curiously bland seasoning - a spice rub might have overwhelmed , however herb mix or other sauce would have done much to enhance .","herb mix","to enhance"
"1345","Barbecued codfish was gorgeously moist - as if poached - yet the fabulous texture was let down by curiously bland seasoning - a spice rub might have overwhelmed , however herb mix or other sauce would have done much to enhance .","sauce","to enhance"
"1159","After dinner , take your date to the HUGE dance floor , probably one of the biggest you 'll see in NY .","dance floor","HUGE biggest"
"3547","Taj Mahal offeres gret value and great food .","value","great"
"3547","Taj Mahal offeres gret value and great food .","food","great"
"2015","My boyfriend and I recently had an early dinner at Artisanal and was satisfied with our experience .","dinner","satisfied"
"1209","Outstanding Bagels , but you get what you pay for .","Bagels","Outstanding"
"443","Pizza - the only pizza in NYC that should not have additional toppings - the crust tastes like the best , freshly baked bread !","crust","best"
"443","Pizza - the only pizza in NYC that should not have additional toppings - the crust tastes like the best , freshly baked bread !","bread","freshly baked"
"1377","I found it on a cold night , the perfect spot to warm up .","spot","perfect"
"2741","Service was warm and attentive , beef carpaachio was exellent ( huge portion ) and pasta was fresh and well-prepared .","Service","warm attentive"
"2741","Service was warm and attentive , beef carpaachio was exellent ( huge portion ) and pasta was fresh and well-prepared .","beef carpaachio","exellent"
"2741","Service was warm and attentive , beef carpaachio was exellent ( huge portion ) and pasta was fresh and well-prepared .","pasta","fresh well-prepared"
"2741","Service was warm and attentive , beef carpaachio was exellent ( huge portion ) and pasta was fresh and well-prepared .","portion","huge"
"599","Best Italian food I ever had ( and being Italian , that means alot ) .","Italian food","Best"
"803","I will recommend Scopa to all of my friends for a place to go for wonderful Italian food .","Italian food","wonderful"
"847","Looking around , I saw a room full of New Yorkers enjoying a real meal in a real restaurant , not a clubhouse of the fabulous trying to be seen .","meal","real"
"847","Looking around , I saw a room full of New Yorkers enjoying a real meal in a real restaurant , not a clubhouse of the fabulous trying to be seen .","clubhouse","fabulous"
"1161","Great bar , most gorgeous bartenders you 've ever seen ( specifically the blond lady ) .","bar","Great"
"1161","Great bar , most gorgeous bartenders you 've ever seen ( specifically the blond lady ) .","bartenders","gorgeous"
"3405","I really loved the different and inovated touch that 's the cheff gives to the food .","food","different inovated"
"3702","They came out over cooked and the cheese was almost non existant .","cheese","non existant"
"1911","I had a terrific meal , and our server guided us toward a very nice wine in our price range , instead of allowing us to purchase a similarly priced wine that was n't as good .","meal","terrific"
"1911","I had a terrific meal , and our server guided us toward a very nice wine in our price range , instead of allowing us to purchase a similarly priced wine that was n't as good .","wine","nice"
"703","The svc can be a bit rude at times , esp if you have big group , but overall the restaurant is a must !","svc","rude"
"1000","The food is good , especially their more basic dishes , and the drinks are delicious .","food","good"
"1000","The food is good , especially their more basic dishes , and the drinks are delicious .","dishes","good"
"1000","The food is good , especially their more basic dishes , and the drinks are delicious .","drinks","delicious"
"3241","But the main hit was the whole grilled fish .","whole grilled fish","hit"
"2570","On a hot day it was fabulous to stop in and enjoy lunch .","lunch","fabulous enjoy"
"280","The food is delicious and beautifully prepared along with the friendly and personable service .","food","delicious beautifully prepared"
"280","The food is delicious and beautifully prepared along with the friendly and personable service .","service","personable"
"1729","Pizza here is consistently good .","Pizza","good"
"610","We had a great tiem watching the shows and characters and ar food was just what we were looking for .","shows","great"
"610","We had a great tiem watching the shows and characters and ar food was just what we were looking for .","food","looking for"
"610","We had a great tiem watching the shows and characters and ar food was just what we were looking for .","characters","great"
"2984","Would n't recomend it for dinner !","dinner","recomend"
"1429","Sauce was watery and the food did n't have much flavor .","Sauce","watery"
"1429","Sauce was watery and the food did n't have much flavor .","food","did n't have much flavor"
"1855","My husband and I enjoy Sangria .","Sangria","enjoy"
"579","We both opted for a pasta dish and they were served timely and fresh .","pasta dish","served timely fresh"
"579","We both opted for a pasta dish and they were served timely and fresh .","served","timely fresh"
"3670","First the wrong bread came out with the appetizer , then when i tried to order a second glass of wine for my main course ...","bread","wrong"
"3670","First the wrong bread came out with the appetizer , then when i tried to order a second glass of wine for my main course ...","glass of wine","second"
"685","Not sure where the previous reviewer , lonk , dined , but Saul is in a great neighborhood and has great food !","neighborhood","great"
"685","Not sure where the previous reviewer , lonk , dined , but Saul is in a great neighborhood and has great food !","food","great"
"428","In an area sadly lacking in decent Thai food , this is one of the best spots .","Thai food","decent"
"779","Make reservations but expect to be delayed 15-20 minutes as the hosting staff was having difficulty seating guests who arrived with a reservation because they probably had a lot of walk ins being so close to Time Square .","reservations","delayed"
"779","Make reservations but expect to be delayed 15-20 minutes as the hosting staff was having difficulty seating guests who arrived with a reservation because they probably had a lot of walk ins being so close to Time Square .","seating","difficulty"
"916","The food was average or above including some surprising tasty dishes .","food","average or above"
"916","The food was average or above including some surprising tasty dishes .","dishes","tasty"
"2194","They do n't seem to place an emphasis on specials or fresh ingredients which to me is necessary for good thai .","ingredients","good"
"2194","They do n't seem to place an emphasis on specials or fresh ingredients which to me is necessary for good thai .","thai","good"
"127","The noodle and rices dishes taste great .","noodle and rices dishes","great"
"427","The food 's as good as ever .","food","good"
"2298","The crust is thin , the ingredients are fresh and the staff is friendly .","crust","thin"
"2298","The crust is thin , the ingredients are fresh and the staff is friendly .","staff","friendly"
"2298","The crust is thin , the ingredients are fresh and the staff is friendly .","ingredients","fresh"
"3169","Also a little more expensive than your average bagel place .","bagel","expensive"
"3335","the food was undercooked -the sauce watery , and the vegetables raw .","food","undercooked"
"3335","the food was undercooked -the sauce watery , and the vegetables raw .","vegetables","raw"
"3335","the food was undercooked -the sauce watery , and the vegetables raw .","sauce","watery"
"2356","And the fried clams had just enough kick to them to make 'em worth eating .","fried clams","enough"
"1199","The sauces used are also not that exciting .","sauces","not that exciting"
"2444","The secret is the lunch menu which offers a complimentary appetizer with every entree ordered .","lunch menu","secret"
"2444","The secret is the lunch menu which offers a complimentary appetizer with every entree ordered .","appetizer","complimentary"
"2444","The secret is the lunch menu which offers a complimentary appetizer with every entree ordered .","entree","complimentary"
"340","The rice was poor quality and was cooked so badly it was hard .","rice","poor quality cooked so badly hard"
"340","The rice was poor quality and was cooked so badly it was hard .","quality","poor"
"340","The rice was poor quality and was cooked so badly it was hard .","cooked","badly"
"651","The shrimp scampi was excellent and the antipasti were plentiful .","shrimp scampi","excellent"
"651","The shrimp scampi was excellent and the antipasti were plentiful .","antipasti","plentiful"
"2090","I got the $ 10 10-piece dim sum combo , every bite of which was great .","dim sum combo","great"
"2433","There is also very limited seating and there can be a substantial wait in getting food at peak times .","seating","limited"
"2433","There is also very limited seating and there can be a substantial wait in getting food at peak times .","wait","substantial"
"1949","If it 's just a quick martini at the bar ( which I recommend Jeffery 's ) or a mind blowing Roast Chicken , go to Village !","martini","quick"
"1949","If it 's just a quick martini at the bar ( which I recommend Jeffery 's ) or a mind blowing Roast Chicken , go to Village !","bar","recommend"
"1949","If it 's just a quick martini at the bar ( which I recommend Jeffery 's ) or a mind blowing Roast Chicken , go to Village !","Roast Chicken","mind blowing"
"301","There was a long wait for a table outside , but it was a little too hot in the sun anyway so our insde table was very nice .","table","long wait"
"301","There was a long wait for a table outside , but it was a little too hot in the sun anyway so our insde table was very nice .","insde table","nice"
"301","There was a long wait for a table outside , but it was a little too hot in the sun anyway so our insde table was very nice .","wait","long"
"942","The prices are wonderfully low .","prices","wonderfully low"
"2398","I have never been disappointed but their true strength lays in their amazingly delicious and cheap lunch specials .","lunch specials","delicious cheap"
"53","So much more than the usual bar food , go there to enjoy the menu while sampling one of their hand-crafted beers .","menu","enjoy"
"53","So much more than the usual bar food , go there to enjoy the menu while sampling one of their hand-crafted beers .","hand-crafted beers","hand-crafted"
"2025","No free drink .","drink","No free"
"259","This is my first time writing a review for a restaurant because the food and service was excellent .","food","excellent"
"259","This is my first time writing a review for a restaurant because the food and service was excellent .","service","excellent"
"1211","While they keep the capex to a minimum , they do put some cash into the bagels , because they among the best in the city .","bagels","best"
"1565","Do n't waste money on decor .","decor","waste"
"2959","They also have a back garden open in the summer - cute and French with outdoor seating - what more could you ask for ?","back garden","cute French"
"1659","I have never before eaten 40 pieces of relatively good nigiri .","nigiri","good"
"839","Given the incredible architecture surrounding it , this place has no character .","architecture","incredible"
"839","Given the incredible architecture surrounding it , this place has no character .","place","no character"
"3086","While the place is not a hotspot hangout , the drinks are unique and pack a lot of bang for the buck .","drinks","unique"
"531","Have frequented 'ino for several years and the food remains excellent .","food","excellent"
"450","Their eggplant is so delicate , sweet tender !","eggplant","delicate sweet tender"
"3263","Each bite of food at Kai was indeed delicious , fresh , and elegant .","food","delicious fresh elegant"
"2939","all the food was excellent - considering the quality of food in most moderately priced restaurants is mediocre this was slightly more pricey and well worth it .","food","excellent"
"2939","all the food was excellent - considering the quality of food in most moderately priced restaurants is mediocre this was slightly more pricey and well worth it .","quality of food","mediocre"
"2939","all the food was excellent - considering the quality of food in most moderately priced restaurants is mediocre this was slightly more pricey and well worth it .","priced","moderately"
"2606","My friend got the mushroom pizza which tasted better .","mushroom pizza","better"
"2019","I had the cod with paella ( spicy and very filling , I 'm a big eater and could only eat half ) while my boyfriend had the classic fish and chips ( again , a big serving - at least 5 pieces of fish and a basketful of fries ) .","cod with paella","spicy filling"
"2019","I had the cod with paella ( spicy and very filling , I 'm a big eater and could only eat half ) while my boyfriend had the classic fish and chips ( again , a big serving - at least 5 pieces of fish and a basketful of fries ) .","fish and chips","classic big"
"2019","I had the cod with paella ( spicy and very filling , I 'm a big eater and could only eat half ) while my boyfriend had the classic fish and chips ( again , a big serving - at least 5 pieces of fish and a basketful of fries ) .","serving","big"
"1797","It 's a shame that a nice , convenient place like the Pink Pony can be so ruined by lousy service .","place","convenient"
"1797","It 's a shame that a nice , convenient place like the Pink Pony can be so ruined by lousy service .","service","lousy"
"2791","The porcini mushroom pasta special was tasteless , so was the seafood tagliatelle .","porcini mushroom pasta special","tasteless"
"2791","The porcini mushroom pasta special was tasteless , so was the seafood tagliatelle .","seafood tagliatelle","tasteless"
"3261","Try the spicy wontons and the salt pepper shrimps .","spicy wontons","Try"
"3261","Try the spicy wontons and the salt pepper shrimps .","salt pepper shrimps","Try"
"1586","THE FOOD PORTIONS ARE REALLY LARGE .","FOOD PORTIONS","LARGE ."
"1893","The fries are yummy .","fries","yummy"
"309","Friendly and informative staff , very attentive and prompt raw bar service .","staff","Friendly informative attentive"
"309","Friendly and informative staff , very attentive and prompt raw bar service .","bar service","raw"
"2290","Best Taiwanese food in NY !","Taiwanese food","Best"
"736","This place is a great stop for great food .","food","great"
"2784","All the pastas are fantastic and the homemade lasagna is some of the best that I have had in the City .","pastas","fantastic"
"2784","All the pastas are fantastic and the homemade lasagna is some of the best that I have had in the City .","homemade lasagna","best"
"3279","And the prices were way to high for what you get .","prices","high"
"1792","The staff ignored my friends and I the entire time we were there .","staff","ignored"
"166","Yet paired with such rude service , would never recommend for anyone interested in carrying any kind of conversation while there .","service","rude"
"1727","The in-house lady DJ on Saturday nights has outrageously good taste in music , and moreover , takes requests .","in-house lady DJ","good taste"
"3508","Great wine list , reasonably priced . -- Sara","wine list","Great"
"3508","Great wine list , reasonably priced . -- Sara","priced","reasonably"
"1541","The hot dogs were cold in the middle and the buns were stale .","hot dogs","cold"
"1541","The hot dogs were cold in the middle and the buns were stale .","buns","stale"
"1037","While the food was excellent , it was n't cheap ( though not extremely expensive either ) .","food","excellent"
"2288","Beef noodle soup is good as well .","Beef noodle soup","good"
"2585","Delivery service is great too .","Delivery service","great"
"1386","The food 's dazzling flavors overwhelm the palate , truly embracing the beauty of authentic Thai cuisine .","food","overwhelm"
"1386","The food 's dazzling flavors overwhelm the palate , truly embracing the beauty of authentic Thai cuisine .","Thai cuisine","authentic"
"1386","The food 's dazzling flavors overwhelm the palate , truly embracing the beauty of authentic Thai cuisine .","flavors","overwhelm"
"1378","I recieved prompt service with a smile .","service","prompt"
"438","They pray to their Food Gods to make them into a good pizza like VT 's .","pizza","good"
"232","The place was quiet and delightful .","place","quiet delightful"
"3621","The food is a diamond in rough -- the food is delicious and homemade with the perfect balance of herbs and tomatoes .","food","diamond"
"3621","The food is a diamond in rough -- the food is delicious and homemade with the perfect balance of herbs and tomatoes .","food","delicious homemade"
"3621","The food is a diamond in rough -- the food is delicious and homemade with the perfect balance of herbs and tomatoes .","herbs","perfect"
"3621","The food is a diamond in rough -- the food is delicious and homemade with the perfect balance of herbs and tomatoes .","tomatoes","perfect"
"3489","As much as I like the food there , I ca n't bring myself to go back .","food","like"
"3600","It looked like shredded cheese partly done - still in strips .","shredded cheese","partly done"
"3519","The prices and ambience are especially great considering it 's in the West Village .","prices","great"
"3519","The prices and ambience are especially great considering it 's in the West Village .","ambience","great"
"1183","The soup is pretty good too .","soup","good"
"2663","It is so easy to get a reservation at a top place in NYC with a week 's notice .","reservation","easy"
"857","I have never better enjoyed humble root vegetables or a mushroom consomme - and this chef accomplishes without fats .","root vegetables","better enjoyed"
"857","I have never better enjoyed humble root vegetables or a mushroom consomme - and this chef accomplishes without fats .","mushroom consomme","better enjoyed"
"1118","If you go to Roth 's try to be served by Mike , he is GREAT ! !","served","GREAT !"
"2915","not the food , not the ambiance , not the service , I agree with the previous reviews you wait and wait , the wait staff are very rude and when you get in they are looking to get you right out .","wait staff","rude"
"662","I always get the Shabu-Shabu dinner and the beef is always fresh .","beef","fresh"
"3599","The pizza was delivered cold and the cheese was n't even fully melted !","pizza","cold"
"3599","The pizza was delivered cold and the cheese was n't even fully melted !","cheese","was n't even fully melted"
"502","We were very surprised by how good the food was on our first visit here on a Sunday night .","food","good"
"981","Nha Trang , while being notorious for utter lack of comfort and decor , horribly slow wait staff and horribly quick meals , is one of the best vietnamese restaurants i 've ever been to . the pho is delicious and comes with very fresh vegtables .","comfort","lack"
"981","Nha Trang , while being notorious for utter lack of comfort and decor , horribly slow wait staff and horribly quick meals , is one of the best vietnamese restaurants i 've ever been to . the pho is delicious and comes with very fresh vegtables .","decor","lack"
"981","Nha Trang , while being notorious for utter lack of comfort and decor , horribly slow wait staff and horribly quick meals , is one of the best vietnamese restaurants i 've ever been to . the pho is delicious and comes with very fresh vegtables .","wait staff","horribly slow"
"981","Nha Trang , while being notorious for utter lack of comfort and decor , horribly slow wait staff and horribly quick meals , is one of the best vietnamese restaurants i 've ever been to . the pho is delicious and comes with very fresh vegtables .","meals","horribly quick"
"981","Nha Trang , while being notorious for utter lack of comfort and decor , horribly slow wait staff and horribly quick meals , is one of the best vietnamese restaurants i 've ever been to . the pho is delicious and comes with very fresh vegtables .","pho","delicious"
"981","Nha Trang , while being notorious for utter lack of comfort and decor , horribly slow wait staff and horribly quick meals , is one of the best vietnamese restaurants i 've ever been to . the pho is delicious and comes with very fresh vegtables .","vegtables","fresh"
"1987","On the other hand , if you are not fooled easily , you will find hundreds of restaurants that will give you service and ambiance that is on par with Alain Ducasse , and food that will outshine in presentaion , taste , choice , quality and quantity .","service","on par"
"1987","On the other hand , if you are not fooled easily , you will find hundreds of restaurants that will give you service and ambiance that is on par with Alain Ducasse , and food that will outshine in presentaion , taste , choice , quality and quantity .","ambiance","on par"
"1987","On the other hand , if you are not fooled easily , you will find hundreds of restaurants that will give you service and ambiance that is on par with Alain Ducasse , and food that will outshine in presentaion , taste , choice , quality and quantity .","food","outshine"
"3626","If I could rate the people this place would be off the charts - unfortunately - the pizza , sorry - not the best in NYC .","people","best"
"3626","If I could rate the people this place would be off the charts - unfortunately - the pizza , sorry - not the best in NYC .","pizza","best"
"1094","The food is amazing ! ! ! !","food","amazing"
"2881","Having not been home in the last 2 years may skew this reviewer a bit , but the food was tasty and spicy sans the oil that comes floating along at similar venues .","food","tasty spicy"
"285","The portions are now very small , the sauces are overly ambitious usually inedible while the service is still good , the restaurant , due to its popularity , seems frantic .","portions","small"
"285","The portions are now very small , the sauces are overly ambitious usually inedible while the service is still good , the restaurant , due to its popularity , seems frantic .","sauces","ambitious inedible"
"285","The portions are now very small , the sauces are overly ambitious usually inedible while the service is still good , the restaurant , due to its popularity , seems frantic .","service","good"
"1493","The owner is very friendly and a great guy , go try his pizza , you 'll like it !","owner","friendly great"
"1493","The owner is very friendly and a great guy , go try his pizza , you 'll like it !","pizza","try like"
"1014","The atmosphere is great ! ! !","atmosphere","great"
"953","With so many good restaurants on the UWS , I do n't need overpriced food , absurdly arrogant wait-staff who do n't recognize they work at a glorified diner , clumsy service , and management that does n't care .","food","overpriced"
"953","With so many good restaurants on the UWS , I do n't need overpriced food , absurdly arrogant wait-staff who do n't recognize they work at a glorified diner , clumsy service , and management that does n't care .","wait-staff","arrogant"
"953","With so many good restaurants on the UWS , I do n't need overpriced food , absurdly arrogant wait-staff who do n't recognize they work at a glorified diner , clumsy service , and management that does n't care .","service","clumsy"
"953","With so many good restaurants on the UWS , I do n't need overpriced food , absurdly arrogant wait-staff who do n't recognize they work at a glorified diner , clumsy service , and management that does n't care .","management","does n't care"
"953","With so many good restaurants on the UWS , I do n't need overpriced food , absurdly arrogant wait-staff who do n't recognize they work at a glorified diner , clumsy service , and management that does n't care .","diner","glorified"
"405","I tend to judge a sushi restaurant by its sea urchin , which was heavenly at sushi rose .","sea urchin","heavenly"
"3141","The service is a little scatty at times but all is forgiven when the food arrives .","service","scatty"
"3141","The service is a little scatty at times but all is forgiven when the food arrives .","food","forgiven"
"466","The bruscetta is a bit soggy , but the salads were fresh , included a nice mix of greens ( not iceberg ) all dishes are served piping hot from the kitchen .","bruscetta","soggy"
"466","The bruscetta is a bit soggy , but the salads were fresh , included a nice mix of greens ( not iceberg ) all dishes are served piping hot from the kitchen .","salads","fresh"
"466","The bruscetta is a bit soggy , but the salads were fresh , included a nice mix of greens ( not iceberg ) all dishes are served piping hot from the kitchen .","dishes","hot"
"466","The bruscetta is a bit soggy , but the salads were fresh , included a nice mix of greens ( not iceberg ) all dishes are served piping hot from the kitchen .","mix of greens","nice"
"729","The atmosphere is n't the greatest , but I suppose that 's how they keep the prices down .","atmosphere","is n't the greatest"
"729","The atmosphere is n't the greatest , but I suppose that 's how they keep the prices down .","prices","down"
"487","The pickles were great addition .","pickles","great"
"1434","If your favorite Chinese food is General Tao chicken , then this is NOT your place .","General Tao chicken","favorite"
"3410","You must try the shrimp appetizers .","shrimp appetizers","try"
"1050","Not only is the cuisine the best around , the service has always been attentive and charming .","cuisine","best"
"1050","Not only is the cuisine the best around , the service has always been attentive and charming .","service","attentive charming"
"1991","The production is a symphony , alot of fun to experience.The food sublime for the most part .","food","sublime"
"2035","Waiters tend to forget drinks completely , food portions are so tiny , two people have trouble sharing one entree .","Waiters","forget"
"2035","Waiters tend to forget drinks completely , food portions are so tiny , two people have trouble sharing one entree .","food portions","tiny"
"2035","Waiters tend to forget drinks completely , food portions are so tiny , two people have trouble sharing one entree .","drinks","forget"
"2035","Waiters tend to forget drinks completely , food portions are so tiny , two people have trouble sharing one entree .","entree","trouble"
"3587","my wife and i have been going to nyc for years and would n't miss roxy , s food is expensive but it 's new york !","food","expensive"
"3605","Interesting selection , good wines , service fine , fun decor .","wines","good"
"3605","Interesting selection , good wines , service fine , fun decor .","service","fine"
"3605","Interesting selection , good wines , service fine , fun decor .","decor","fun"
"898","But the thing that my wife and I hated was it was so loud and it felt like ' bar ' or ' pub ' .","bar","loud"
"898","But the thing that my wife and I hated was it was so loud and it felt like ' bar ' or ' pub ' .","pub","loud"
"483","While there are plenty of places to go for a good corned beef sandwich , Katz 's has a charm about it .","corned beef sandwich","good"
"359","However , looking at the table next to ours , we both sort of wished we had ordered pizza , which looked perfect","pizza","perfect"
"2795","Priced at upper intermediate range .","Priced","upper intermediate"
"342","The fish was adequate , but inexpertly sliced .","fish","adequate inexpertly sliced"
"767","If you live in new york city , you 'll find better food at small restaurants outside of time square and spend half the amount .","food","better"
"2938","they did n't disappoint , service from the second i arrived at the door was extremely pleasant and attentive with almost one server per table .","service","pleasant attentive"
"2544","I do n't know who they think they are but they have no respect for the residents of the neighborhood ever since they opened their cabaret next door and blasts loud music till three in the morning every weekend during the summer .","music","loud"
"408","The rice to fish ration was also good -- they did n't try to overpack the rice .","rice to fish ration","good"
"529","The food is great and they have a good selecion of wines at reasonable prices .","food","great"
"529","The food is great and they have a good selecion of wines at reasonable prices .","selecion of wines","good"
